Symbol,Sector,Correlation,Cap_Category
SARLAPOLY,NIFTY ALPHA 50,0.9396,Small Cap
SASKEN,NIFTY CONSUMPTION,0.8672,Small Cap
SASTASUNDR,NIFTY ALPHA 50,0.9288,Small Cap
SATIA,NIFTY ENERGY,0.5996,Small Cap
SATIN,NIFTY LARGEMID250,0.819,Small Cap
SBC,NIFTY BANK,0.7551,Small Cap
SBCL,NIFTY HEALTHCARE,0.8688,Small Cap
SBICARD,NIFTY LARGEMID250,0.8725,Large Cap
SBIETFCON,NIFTY CONSUMPTION,0.9967,Unknown
SBIETFIT,NIFTY IT,0.9984,Unknown
SBIETFPB,NIFTY BANK,0.9538,Unknown
SBIETFQLTY,NIFTY 500,0.989,Unknown
SBILIFE,NIFTY 500,0.9087,Large Cap
SBIN,NIFTY INFRA,0.9331,Large Cap
SCAPDVR,NIFTY CONSUMPTION,0.8846,Unknown
SCHAEFFLER,NIFTY ENERGY,0.8101,Large Cap
SCHAND,NIFTY INDIA MFG,0.8949,Small Cap
SCHNEIDER,NIFTY 500,0.8038,Mid Cap
SCI,NIFTY ALPHA 50,0.9497,Mid Cap
SDBL,NIFTY HEALTHCARE,0.8376,Small Cap
SDL24BEES,NIFTY CPSE,0.9003,Unknown
SDL26BEES,NIFTY INFRA,0.7147,Unknown
SEAMECLTD,NIFTY ENERGY,0.9334,Small Cap
SECURKLOUD,NIFTY ALPHA 50,0.622,Micro Cap
SELAN,NIFTY CPSE,0.798,Unknown
SEPC,NIFTY CPSE,0.7692,Small Cap
SEPOWER,NIFTY ALPHA 50,0.7396,Unknown
SEQUENT,NIFTY IND DIGITAL,0.8129,Mid Cap
SESHAPAPER,NIFTY INDIA MFG,0.8211,Small Cap
SETCO,NIFTY LARGEMID250,0.7407,Micro Cap
SETF10GILT,NIFTY IT,0.7292,Unknown
SETFGOLD,NIFTY FMCG,0.812,Unknown
SETFNIFBK,NIFTY BANK,0.9598,Unknown
SETUINFRA,NIFTY IND DIGITAL,0.7374,Micro Cap
SFL,NIFTY ALPHA 50,0.9375,Mid Cap
SGIL,NIFTY IND DIGITAL,0.6245,Small Cap
SGL,NIFTY CONSUMPTION,0.8175,Micro Cap
SHAHALLOYS,NIFTY ENERGY,0.865,Micro Cap
SHAILY,NIFTY LARGEMID250,0.7515,Mid Cap
SHAKTIPUMP,NIFTY 500,0.871,Mid Cap
SHALBY,NIFTY 500,0.8056,Small Cap
SHALPAINTS,NIFTY CPSE,0.8111,Small Cap
SHANKARA,NIFTY CPSE,0.8562,Micro Cap
SHANTI,Unassigned,0.3858,Micro Cap
SHANTIGEAR,NIFTY INFRA,0.7936,Small Cap
SHARDACROP,NIFTY IND DIGITAL,0.8108,Mid Cap
SHARDAMOTR,NIFTY ALPHA 50,0.9372,Mid Cap
SHAREINDIA,NIFTY ENERGY,0.9565,Small Cap
SHARIABEES,NIFTY ALPHA 50,0.971,Unknown
SHEMAROO,NIFTY CPSE,0.449,Micro Cap
SHILPAMED,NIFTY LARGEMID250,0.7432,Mid Cap
SHIVAMAUTO,NIFTY CPSE,0.8518,Micro Cap
SHK,NIFTY 500,0.8557,Small Cap
SHOPERSTOP,NIFTY CPSE,0.7726,Small Cap
SHREDIGCEM,NIFTY LARGEMID250,0.9203,Small Cap
SHREECEM,NIFTY FIN SERVICE,0.887,Large Cap
SHRENIK,NIFTY LARGEMID250,0.8239,Micro Cap
SHREYANIND,NIFTY INDIA MFG,0.8411,Micro Cap
SHREYAS,NIFTY ALPHA 50,0.8532,Unknown
SHRIRAMCIT,NIFTY LARGEMID250,0.899,Unknown
SHRIRAMPPS,NIFTY LARGEMID250,0.9247,Small Cap
SHYAMCENT,NIFTY CPSE,0.7927,Micro Cap
SHYAMMETL,NIFTY LARGEMID250,0.7532,Large Cap
SIEMENS,NIFTY 500,0.9386,Large Cap
SIGACHI,NIFTY INDIA MFG,0.8681,Small Cap
SIGIND,NIFTY 500,0.8566,Micro Cap
SIKKO,NIFTY CONSUMPTION,0.7599,Micro Cap
SILGO,NIFTY LARGEMID250,0.5312,Micro Cap
SILINV,NIFTY ALPHA 50,0.9506,Small Cap
SILLYMONKS,NIFTY HEALTHCARE,0.4797,Micro Cap
SILVER,NIFTY IT,0.8583,Unknown
SILVERBEES,NIFTY IT,0.8563,Unknown
SIMBHALS,NIFTY ALPHA 50,0.7789,Micro Cap
SIMPLEXINF,NIFTY INDIA MFG,0.7779,Small Cap
SINTERCOM,NIFTY ALPHA 50,0.5359,Micro Cap
SIRCA,NIFTY ENERGY,0.9198,Small Cap
SIS,NIFTY IND DIGITAL,0.7994,Small Cap
SITINET,NIFTY LARGEMID250,0.8446,Micro Cap
SIYSIL,NIFTY CPSE,0.8761,Small Cap
SJS,NIFTY IND DIGITAL,0.7128,Mid Cap
SJVN,NIFTY 500,0.896,Large Cap
SKIPPER,NIFTY 500,0.7901,Mid Cap
SMCGLOBAL,NIFTY IND DIGITAL,0.7012,Small Cap
SMLT,NIFTY CONSUMPTION,0.8162,Micro Cap
SMSLIFE,NIFTY ALPHA 50,0.8969,Micro Cap
SMSPHARMA,NIFTY 500,0.6894,Small Cap
SNOWMAN,NIFTY LARGEMID250,0.6162,Small Cap
SOFTTECH,NIFTY CONSUMPTION,0.7763,Micro Cap
SOMANYCERA,NIFTY 500,0.9402,Small Cap
SONACOMS,NIFTY INDIA MFG,0.8275,Large Cap
SONATSOFTW,NIFTY IT,0.9647,Mid Cap
SOTL,NIFTY CONSUMPTION,0.8158,Small Cap
SPAL,NIFTY CPSE,0.9246,Small Cap
SPARC,NIFTY ALPHA 50,0.9086,Small Cap
SPECIALITY,NIFTY CPSE,0.8304,Small Cap
SPENCERS,NIFTY INDIA MFG,0.801,Micro Cap
SPIC,NIFTY ALPHA 50,0.929,Small Cap
SPICEJET,NIFTY INDIA MFG,0.8212,Small Cap
SPLIL,NIFTY 500,0.8629,Micro Cap
SPLPETRO,NIFTY IND DIGITAL,0.818,Mid Cap
SPMLINFRA,NIFTY CPSE,0.7618,Small Cap
SPORTKING,NIFTY ENERGY,0.8138,Small Cap
SRF,NIFTY ALPHA 50,0.9533,Large Cap
SRHHYPOLTD,NIFTY ENERGY,0.8956,Small Cap
STARHEALTH,NIFTY IND DIGITAL,0.729,Large Cap
STARPAPER,NIFTY CONSUMPTION,0.8755,Micro Cap
STARTECK,NIFTY ENERGY,0.6592,Micro Cap
STCINDIA,NIFTY 500,0.7168,Small Cap
STEELCAS,NIFTY FMCG,0.9289,Small Cap
STEELCITY,NIFTY COMMODITIES,0.8876,Micro Cap
STEL,NIFTY CONSUMPTION,0.9134,Small Cap
STOVEKRAFT,NIFTY IT,0.8284,Small Cap
STYLAMIND,NIFTY INDIA MFG,0.6776,Small Cap
SUBCAPCITY,NIFTY FMCG,0.8031,Unknown
SUBEXLTD,NIFTY INDIA MFG,0.8412,Small Cap
SUBROS,NIFTY CONSUMPTION,0.9156,Mid Cap
SUDARSCHEM,NIFTY IND DIGITAL,0.8798,Mid Cap
SUMEETINDS,NIFTY ALPHA 50,0.9079,Small Cap
SUMICHEM,NIFTY FMCG,0.9268,Large Cap
SUMMITSEC,NIFTY 500,0.9183,Small Cap
SUNCLAYLTD,NIFTY 500,0.9344,Unknown
SUNDARAM,NIFTY ALPHA 50,0.7893,Micro Cap
SUNDARMFIN,NIFTY INFRA,0.8545,Large Cap
SUNDRMBRAK,NIFTY 500,0.881,Micro Cap
SUNDRMFAST,NIFTY 500,0.9809,Mid Cap
SUNFLAG,NIFTY CONSUMPTION,0.9183,Small Cap
SUNPHARMA,NIFTY ALPHA 50,0.9538,Large Cap
SUNTV,NIFTY 500,0.659,Large Cap
SUPRAJIT,NIFTY 500,0.953,Mid Cap
SUPREMEIND,NIFTY 100,0.9575,Large Cap
SURANASOL,NIFTY ALPHA 50,0.8387,Micro Cap
SURANAT&P,NIFTY ALPHA 50,0.8297,Micro Cap
SURYALAXMI,NIFTY ALPHA 50,0.9479,Micro Cap
SURYAROSNI,NIFTY 500,0.9174,Mid Cap
SURYODAY,NIFTY LARGEMID250,0.8707,Small Cap
SUTLEJTEX,NIFTY ALPHA 50,0.9553,Small Cap
SUULD,NIFTY HEALTHCARE,0.5756,Micro Cap
SUVEN,NIFTY LARGEMID250,0.7617,Small Cap
SUVENPHAR,NIFTY 50,0.904,Unknown
SUVIDHAA,NIFTY LARGEMID250,0.8604,Micro Cap
SUZLON,NIFTY ALPHA 50,0.8985,Large Cap
SWANENERGY,NIFTY CONSUMPTION,0.7944,Unknown
SWSOLAR,NIFTY CPSE,0.4801,Mid Cap
SYNGENE,NIFTY IT,0.9259,Large Cap
SYRMA,NIFTY INDIA MFG,0.7861,Mid Cap
TAJGVK,NIFTY HEALTHCARE,0.7154,Small Cap
TANLA,NIFTY IT,0.9422,Mid Cap
TARAPUR,NIFTY CONSR DURBL,0.6151,Micro Cap
TARC,NIFTY IND DIGITAL,0.8794,Small Cap
TARSONS,NIFTY FMCG,0.851,Small Cap
TASTYBITE,NIFTY IT,0.8062,Small Cap
TATACHEM,NIFTY 500,0.8831,Large Cap
TATACOFFEE,NIFTY ALPHA 50,0.9638,Micro Cap
TATACONSUM,NIFTY 50,0.9522,Large Cap
TATAELXSI,NIFTY INFRA,0.9015,Large Cap
TATAINVEST,NIFTY ENERGY,0.9324,Large Cap
TATAMTRDVR,NIFTY ALPHA 50,0.9397,Unknown
TATASTEEL,NIFTY INDIA MFG,0.9538,Large Cap
TBZ,NIFTY 500,0.9112,Small Cap
TCIDEVELOP,NIFTY AUTO,0.6283,Unknown
TCIEXP,NIFTY 100,0.9461,Small Cap
TCNSBRANDS,NIFTY LARGEMID250,0.8257,Unknown
TCPLPACK,NIFTY CONSUMPTION,0.8169,Small Cap
TCS,NIFTY IT,0.9732,Large Cap
TDPOWERSYS,NIFTY CPSE,0.8104,Mid Cap
TECH,NIFTY IT,0.9986,Unknown
TECHM,NIFTY IT,0.9566,Large Cap
TECHNOE,NIFTY INDIA MFG,0.8627,Mid Cap
TEJASNET,NIFTY CONSUMPTION,0.9096,Mid Cap
TEMBO,NIFTY IT,0.8494,Small Cap
TERASOFT,NIFTY 500,0.7876,Small Cap
TEXRAIL,NIFTY CPSE,0.8117,Mid Cap
TGBHOTELS,NIFTY ALPHA 50,0.8633,Micro Cap
THEINVEST,NIFTY LARGEMID250,0.5978,Small Cap
THOMASCOOK,NIFTY IND DIGITAL,0.587,Mid Cap
TI,NIFTY INFRA,0.8723,Mid Cap
TIDEWATER,NIFTY INDIA MFG,0.7964,Unknown
TIINDIA,NIFTY CONSUMPTION,0.9564,Large Cap
TIJARIA,NIFTY LARGEMID250,0.4204,Micro Cap
TIMESGTY,NIFTY CONSUMPTION,0.8159,Unknown
TIMKEN,NIFTY CONSUMPTION,0.9039,Large Cap
TIPSINDLTD,NIFTY ALPHA 50,0.9367,Unknown
TIRUPATIFL,NIFTY CONSUMPTION,0.8586,Micro Cap
TITAN,NIFTY 50,0.9729,Large Cap
TNIDETF,NIFTY IND DIGITAL,0.9715,Unknown
TNPETRO,NIFTY LARGEMID250,0.9436,Small Cap
TNPL,NIFTY INDIA MFG,0.727,Small Cap
TOKYOPLAST,NIFTY CONSUMPTION,0.9477,Micro Cap
TORNTPOWER,NIFTY CONSUMPTION,0.9585,Large Cap
TOTAL,NIFTY CONSUMPTION,0.6835,Micro Cap
TREJHARA,NIFTY ALPHA 50,0.9187,Small Cap
TRF,NIFTY CPSE,0.7093,Micro Cap
TRIDENT,NIFTY ALPHA 50,0.9011,Mid Cap
TRITURBINE,NIFTY 500,0.8656,Mid Cap
TRIVENI,NIFTY ALPHA 50,0.9164,Mid Cap
TRU,NIFTY INDIA MFG,0.6207,Micro Cap
TTKPRESTIG,NIFTY 100,0.9425,Mid Cap
TVSELECT,NIFTY 500,0.8451,Small Cap
TVSMOTOR,NIFTY CONSUMPTION,0.9112,Large Cap
TVTODAY,NIFTY LARGEMID250,0.78,Small Cap
UCOBANK,NIFTY LARGEMID250,0.9387,Large Cap
UDAICEMENT,NIFTY LARGEMID250,0.7547,Small Cap
UFO,NIFTY CPSE,0.5355,Micro Cap
UJJIVAN,NIFTY CONSR DURBL,0.4628,Unknown
UJJIVANSFB,NIFTY LARGEMID250,0.6118,Mid Cap
UMAEXPORTS,NIFTY INDIA MFG,0.8712,Micro Cap
UMESLTD,NIFTY IND DIGITAL,0.7578,Micro Cap
UNIENTER,NIFTY 500,0.921,Small Cap
UNIINFO,NIFTY IT,0.7704,Micro Cap
UNITEDPOLY,NIFTY INDIA MFG,0.6845,Small Cap
UNIVASTU,NIFTY ENERGY,0.888,Micro Cap
UNIVCABLES,NIFTY IND DIGITAL,0.6963,Small Cap
UPL,NIFTY BANK,0.8967,Large Cap
UTIBANKETF,NIFTY BANK,0.9963,Unknown
UTINEXT50,NIFTY 500,0.9907,Unknown
UTINIFTETF,NIFTY 50,0.9988,Unknown
UTISXN50,NIFTY INFRA,0.9802,Unknown
UTTAMSUGAR,NIFTY CONSUMPTION,0.911,Small Cap
V2RETAIL,NIFTY LARGEMID250,0.8683,Mid Cap
VADILALIND,NIFTY CONSUMPTION,0.8031,Small Cap
VAIBHAVGBL,NIFTY IT,0.848,Small Cap
VAISHALI,NIFTY LARGEMID250,0.7105,Micro Cap
VAKRANGEE,NIFTY LARGEMID250,0.4395,Small Cap
VALIANTORG,Unassigned,0.1972,Small Cap
VARDMNPOLY,NIFTY ALPHA 50,0.905,Micro Cap
VASCONEQ,NIFTY 500,0.9308,Small Cap
VBL,NIFTY ENERGY,0.9381,Large Cap
VENKEYS,NIFTY LARGEMID250,0.903,Small Cap
VERANDA,NIFTY CONSUMPTION,0.8277,Small Cap
VERTOZ,Unassigned,0.3308,Small Cap
VETO,NIFTY 500,0.7895,Micro Cap
VGUARD,NIFTY BANK,0.8411,Mid Cap
VIDHIING,NIFTY ALPHA 50,0.9478,Small Cap
VIJIFIN,NIFTY ALPHA 50,0.8164,Micro Cap
VIKASLIFE,NIFTY INDIA MFG,0.8725,Micro Cap
VINDHYATEL,NIFTY 500,0.7992,Small Cap
VIPCLOTHNG,NIFTY CPSE,0.8525,Micro Cap
VIPIND,NIFTY BANK,0.8928,Mid Cap
VISASTEEL,NIFTY ALPHA 50,0.8996,Small Cap
VISESHINFO,NIFTY ALPHA 50,0.8274,Micro Cap
VISHWARAJ,NIFTY LARGEMID250,0.8397,Micro Cap
VIVIDHA,NIFTY ALPHA 50,0.6992,Micro Cap
VIVIMEDLAB,NIFTY LARGEMID250,0.4992,Micro Cap
VLSFINANCE,NIFTY ALPHA 50,0.9175,Small Cap
VMART,NIFTY ALPHA 50,0.9379,Mid Cap
VOLTAS,NIFTY 100,0.975,Large Cap
VRLLOG,NIFTY CPSE,0.8625,Small Cap
VSSL,NIFTY 500,0.9618,Small Cap
VTL,NIFTY ALPHA 50,0.9105,Mid Cap
WABAG,NIFTY LARGEMID250,0.7734,Mid Cap
WATERBASE,NIFTY LARGEMID250,0.9119,Micro Cap
WEALTH,NIFTY INFRA,0.9324,Small Cap
WEBELSOLAR,NIFTY ALPHA 50,0.8948,Small Cap
WELCORP,NIFTY ENERGY,0.7816,Large Cap
WELINV,NIFTY FIN SERVICE,0.9091,Micro Cap
WELSPUNIND,NIFTY ALPHA 50,0.8461,Unknown
WENDT,NIFTY ENERGY,0.9108,Small Cap
WESTLIFE,NIFTY CONSUMPTION,0.9182,Mid Cap
WFL,NIFTY ALPHA 50,0.4678,Unknown
WHEELS,NIFTY LARGEMID250,0.8686,Small Cap
WHIRLPOOL,NIFTY FIN SERVICE,0.7968,Mid Cap
WINDLAS,NIFTY FIN SERVICE,0.5601,Small Cap
WINDMACHIN,NIFTY ALPHA 50,0.865,Small Cap
WINPRO,NIFTY HEALTHCARE,0.6615,Micro Cap
WIPRO,NIFTY IT,0.9751,Large Cap
WOCKPHARMA,NIFTY LARGEMID250,0.785,Large Cap
WONDERLA,NIFTY CPSE,0.6914,Small Cap
WORTH,NIFTY CPSE,0.8917,Micro Cap
WSTCSTPAPR,NIFTY CONSUMPTION,0.8021,Small Cap
XCHANGING,NIFTY CONSUMPTION,0.8407,Small Cap
XELPMOC,NIFTY IT,0.8205,Micro Cap
YAARI,NIFTY INDIA MFG,0.4685,Small Cap
YESBANK,NIFTY LARGEMID250,0.9219,Large Cap
YUKEN,NIFTY LARGEMID250,0.8319,Small Cap
ZEEL,NIFTY CPSE,0.5534,Mid Cap
ZEELEARN,NIFTY LARGEMID250,0.7779,Micro Cap
ZENITHEXPO,NIFTY 500,0.8596,Micro Cap
ZENITHSTL,NIFTY INDIA MFG,0.8409,Micro Cap
ZENSARTECH,NIFTY IND DIGITAL,0.8991,Mid Cap
ZENTEC,NIFTY LARGEMID250,0.9263,Mid Cap
ZFCVINDIA,NIFTY CONSUMPTION,0.7511,Large Cap
ZODIAC,NIFTY AUTO,0.8002,Unknown
ZODIACLOTH,NIFTY LARGEMID250,0.7685,Micro Cap
ZOMATO,NIFTY IT,0.7609,Unknown
ZOTA,NIFTY IT,0.8446,Small Cap
ZUARI,NIFTY IND DIGITAL,0.8789,Small Cap
ZUARIIND,NIFTY ALPHA 50,0.9191,Small Cap
ZYDUSLIFE,NIFTY HEALTHCARE,0.8559,Large Cap
ZYDUSWELL,NIFTY FIN SERVICE,0.8831,Mid Cap
