Symbol,Sector,Correlation,Cap_Category
DNAMEDIA,NIFTY 500,0.8436,Micro Cap
DODLA,NIFTY INDIA MFG,0.7295,Mid Cap
DOLATALGO,NIFTY COMMODITIES,0.8225,Small Cap
DOLLAR,NIFTY ALPHA 50,0.9259,Small Cap
DONEAR,NIFTY ALPHA 50,0.9146,Small Cap
DPABHUSHAN,NIFTY ENERGY,0.9181,Small Cap
DPSCLTD,NIFTY INDIA MFG,0.7395,Small Cap
DPWIRES,NIFTY CPSE,0.9317,Micro Cap
DREAMFOLKS,NIFTY ENERGY,0.8014,Small Cap
DREDGECORP,NIFTY LARGEMID250,0.8204,Small Cap
DRREDDY,NIFTY HEALTHCARE,0.9273,Large Cap
DSPN50ETF,NIFTY 100,0.9935,Unknown
DSPNEWETF,NIFTY LARGEMID250,0.9868,Unknown
DSPQ50ETF,NIFTY INDIA MFG,0.972,Unknown
DSPSILVETF,NIFTY HEALTHCARE,0.7597,Unknown
DTIL,NIFTY ALPHA 50,0.8615,Micro Cap
DWARKESH,NIFTY CONSUMPTION,0.8968,Small Cap
DYNPRO,NIFTY IT,0.9388,Micro Cap
EBBETF0423,NIFTY GS COMPSITE,0.9428,Unknown
EBBETF0425,NIFTY COMMODITIES,0.9483,Unknown
EBBETF0431,NIFTY GS COMPSITE,0.9543,Unknown
EICHERMOT,NIFTY AUTO,0.905,Large Cap
EIFFL,NIFTY CONSUMPTION,0.6734,Small Cap
EIHOTEL,NIFTY CPSE,0.7222,Large Cap
ELDEHSG,NIFTY ALPHA 50,0.8587,Small Cap
ELECTHERM,NIFTY LARGEMID250,0.7739,Small Cap
EMAMILTD,NIFTY 500,0.9017,Large Cap
EMKAY,NIFTY LARGEMID250,0.8669,Small Cap
ENDURANCE,NIFTY 500,0.8926,Large Cap
ENIL,NIFTY LARGEMID250,0.892,Small Cap
EQUITAS,NIFTY INDIA MFG,0.9129,Unknown
ESABINDIA,NIFTY ENERGY,0.9326,Mid Cap
ESSENTIA,NIFTY 500,0.8608,Micro Cap
EUROTEXIND,NIFTY CPSE,0.7593,Micro Cap
EXCEL,NIFTY CPSE,0.8777,Micro Cap
EXPLEOSOL,NIFTY ALPHA 50,0.9301,Small Cap
FCL,NIFTY INFRA,0.8366,Small Cap
FCSSOFT,NIFTY ALPHA 50,0.8171,Micro Cap
FEDERALBNK,NIFTY CPSE,0.811,Large Cap
FIBERWEB,NIFTY INDIA MFG,0.7015,Micro Cap
FILATEX,NIFTY 100,0.9595,Small Cap
FINCABLES,NIFTY 500,0.8227,Mid Cap
FINEORG,NIFTY ENERGY,0.8754,Mid Cap
FLEXITUFF,NIFTY CPSE,0.8215,Micro Cap
FMNL,NIFTY CONSR DURBL,0.6116,Micro Cap
FORCEMOT,NIFTY LARGEMID250,0.8413,Large Cap
FSC,NIFTY IND DIGITAL,0.8171,Micro Cap
GAEL,NIFTY ENERGY,0.9375,Mid Cap
GALAXYSURF,NIFTY 500,0.9602,Mid Cap
GANECOS,NIFTY ENERGY,0.9243,Small Cap
GANGAFORGE,NIFTY IT,0.8319,Micro Cap
GARFIBRES,NIFTY 50,0.9716,Mid Cap
GAYAPROJ,NIFTY INDIA MFG,0.7561,Micro Cap
GEECEE,NIFTY ALPHA 50,0.9086,Small Cap
GEEKAYWIRE,NIFTY INDIA MFG,0.5719,Micro Cap
GENCON,NIFTY LARGEMID250,0.7034,Micro Cap
GENUSPAPER,NIFTY CONSUMPTION,0.8757,Micro Cap
GENUSPOWER,NIFTY ALPHA 50,0.9336,Mid Cap
GEOJITFSL,NIFTY ALPHA 50,0.8678,Small Cap
GESHIP,NIFTY CPSE,0.7545,Mid Cap
GICHSGFIN,NIFTY INDIA MFG,0.8474,Small Cap
GILLANDERS,NIFTY ALPHA 50,0.8955,Micro Cap
GILLETTE,NIFTY INDIA MFG,0.7681,Large Cap
GILT5YBEES,NIFTY IND DIGITAL,0.8495,Unknown
GINNIFILA,NIFTY ALPHA 50,0.9429,Micro Cap
GKWLIMITED,Unassigned,0.3856,Small Cap
GLENMARK,NIFTY HEALTHCARE,0.8589,Large Cap
GLOBALVECT,Unassigned,0.387,Micro Cap
GLOBE,NIFTY INDIA MFG,0.7133,Micro Cap
GLOBUSSPR,NIFTY ALPHA 50,0.9376,Small Cap
GMBREW,NIFTY ALPHA 50,0.9042,Small Cap
GMDCLTD,NIFTY CPSE,0.8044,Mid Cap
GMMPFAUDLR,NIFTY GS COMPSITE,0.8595,Mid Cap
GNA,NIFTY 500,0.9093,Small Cap
GOCLCORP,NIFTY IND DIGITAL,0.8324,Small Cap
GODHA,NIFTY IND DIGITAL,0.6884,Micro Cap
GODREJCP,NIFTY FMCG,0.9005,Large Cap
GOKEX,NIFTY INFRA,0.856,Mid Cap
GOKUL,NIFTY ALPHA 50,0.9111,Micro Cap
GOLDBEES,NIFTY FMCG,0.8107,Unknown
GOLDIAM,NIFTY ALPHA 50,0.9525,Small Cap
GOLDSHARE,NIFTY FMCG,0.8062,Unknown
GOODYEAR,NIFTY LARGEMID250,0.5538,Small Cap
GPTINFRA,NIFTY CPSE,0.8894,Small Cap
GRASIM,NIFTY 500,0.9793,Large Cap
GREAVESCOT,NIFTY INDIA MFG,0.8508,Small Cap
GREENPANEL,NIFTY ENERGY,0.9606,Small Cap
GRINDWELL,NIFTY INFRA,0.9362,Mid Cap
GRMOVER,NIFTY IND DIGITAL,0.8412,Small Cap
GROBTEA,NIFTY 500,0.8495,Micro Cap
GRPLTD,NIFTY CPSE,0.7688,Small Cap
GRWRHITECH,NIFTY IND DIGITAL,0.7374,Mid Cap
GSPL,NIFTY FIN SERVICE,0.908,Mid Cap
GTLINFRA,NIFTY ALPHA 50,0.8062,Small Cap
GUJALKALI,NIFTY INDIA MFG,0.9058,Small Cap
GUJAPOLLO,NIFTY CONSUMPTION,0.8355,Small Cap
GUJGASLTD,NIFTY IT,0.9276,Large Cap
GULFPETRO,NIFTY IND DIGITAL,0.7649,Micro Cap
