date,day_high,day_low,day_open,day_close,day_start,prev_high,prev_low,prev_close,opening_position
2020-03-18,9125.9,8408.85,9088.45,8539.3,2020-03-18 09:15:00,9403.6,8916.7,8965.3,INSIDE
2020-03-19,8574.55,7834.6,8063.3,8267.9,2020-03-19 09:15:00,9125.9,8408.85,8539.3,BELOW
2020-03-20,8882.6,8178.4,8284.45,8744.35,2020-03-20 09:15:00,8574.55,7834.6,8267.9,INSIDE
2020-03-23,8355.55,7584.5,7945.7,7636.65,2020-03-23 09:15:00,8882.6,8178.4,8744.35,BELOW
2020-03-24,8033.8,7512.25,7848.3,7852.45,2020-03-24 09:15:00,8355.55,7584.5,7636.65,INSIDE
2020-03-25,8375.65,7714.95,7735.15,8300.45,2020-03-25 09:15:00,8033.8,7512.25,7852.45,INSIDE
2020-03-26,8748.15,8309.95,8451.0,8653.5,2020-03-26 09:15:00,8375.65,7714.95,8300.45,ABOVE
2020-03-27,9038.5,8523.7,8949.1,8673.5,2020-03-27 09:15:00,8748.15,8309.95,8653.5,ABOVE
2020-03-30,8575.25,8244.45,8385.95,8291.7,2020-03-30 09:15:00,9038.5,8523.7,8673.5,BELOW
2020-03-31,8677.55,8358.75,8529.35,8556.15,2020-03-31 09:15:00,8575.25,8244.45,8291.7,INSIDE
2020-04-01,8587.6,8199.7,8584.1,8262.65,2020-04-01 09:15:00,8677.55,8358.75,8556.15,INSIDE
2020-04-03,8356.55,8056.2,8356.55,8106.45,2020-04-03 09:15:00,8587.6,8199.7,8262.65,INSIDE
2020-04-07,8818.25,8361.95,8446.3,8779.3,2020-04-07 09:15:00,8356.55,8056.2,8106.45,ABOVE
2020-04-08,9130.5,8658.35,8688.9,8752.4,2020-04-08 09:15:00,8818.25,8361.95,8779.3,INSIDE
2020-04-09,9127.85,8904.75,8973.05,9098.55,2020-04-09 09:15:00,9130.5,8658.35,8752.4,INSIDE
2020-04-13,9111.55,8912.9,9103.95,9006.65,2020-04-13 09:15:00,9127.85,8904.75,9098.55,INSIDE
2020-04-15,9260.55,8874.5,9196.4,8942.6,2020-04-15 09:15:00,9111.55,8912.9,9006.65,ABOVE
2020-04-16,9053.0,8823.2,8851.25,9016.6,2020-04-16 09:15:00,9260.55,8874.5,8942.6,BELOW
2020-04-17,9323.45,9092.1,9323.45,9291.35,2020-04-17 09:15:00,9053.0,8823.2,9016.6,ABOVE
2020-04-20,9390.2,9231.05,9390.2,9262.0,2020-04-20 09:15:00,9323.45,9092.1,9291.35,ABOVE
2020-04-21,9044.0,8910.45,9016.95,8981.1,2020-04-21 09:15:00,9390.2,9231.05,9262.0,BELOW
2020-04-22,9209.5,8946.65,9026.75,9193.35,2020-04-22 09:15:00,9044.0,8910.45,8981.1,INSIDE
2020-04-23,9343.15,9171.5,9232.35,9302.9,2020-04-23 09:15:00,9209.5,8946.65,9193.35,ABOVE
2020-04-24,9296.1,9142.25,9163.9,9174.0,2020-04-24 09:15:00,9343.15,9171.5,9302.9,BELOW
2020-04-27,9376.45,9259.2,9259.7,9289.6,2020-04-27 09:15:00,9296.1,9142.25,9174.0,INSIDE
2020-04-28,9403.1,9260.3,9389.8,9401.7,2020-04-28 09:15:00,9376.45,9259.2,9289.6,ABOVE
2020-04-29,9599.3,9396.1,9408.6,9536.8,2020-04-29 09:15:00,9403.1,9260.3,9401.7,ABOVE
2020-04-30,9889.05,9734.3,9753.5,9851.85,2020-04-30 09:15:00,9599.3,9396.1,9536.8,ABOVE
2020-05-04,9533.5,9267.4,9533.5,9305.7,2020-05-04 09:15:00,9889.05,9734.3,9851.85,BELOW
2020-05-05,9450.0,9191.05,9429.4,9222.9,2020-05-05 09:15:00,9533.5,9267.4,9305.7,INSIDE
2020-05-06,9346.55,9117.35,9226.8,9287.8,2020-05-06 09:15:00,9450.0,9191.05,9222.9,INSIDE
